"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 15 16:31:47 GMT 2022","Thu Sep 15 16:31:51 GMT 2022","3880","","","","","","TC-05 - Checking the forum",""
"passed","Thu Sep 15 16:31:27 GMT 2022","Thu Sep 15 16:31:33 GMT 2022","6666","","","","","","TC-01 - Registration on the website Redmine.com",""
"passed","Thu Sep 15 16:31:45 GMT 2022","Thu Sep 15 16:31:47 GMT 2022","2353","","","","","","TC-04 - Testing the search",""
"passed","Thu Sep 15 16:31:40 GMT 2022","Thu Sep 15 16:31:45 GMT 2022","5365","","","","","","TC-03 - Password recovery",""
"passed","Thu Sep 15 16:31:33 GMT 2022","Thu Sep 15 16:31:40 GMT 2022","6477","","","","","","TC-02 - Authorization on the website Redmine.com",""
