"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 15 16:27:01 GMT 2022","Thu Sep 15 16:27:08 GMT 2022","6777","","","","","","TC-02 - Authorization on the website Redmine.com",""
"passed","Thu Sep 15 16:27:13 GMT 2022","Thu Sep 15 16:27:16 GMT 2022","3189","","","","","","TC-04 - Testing the search",""
"passed","Thu Sep 15 16:27:16 GMT 2022","Thu Sep 15 16:27:21 GMT 2022","4450","","","","","","TC-05 - Checking the forum",""
"passed","Thu Sep 15 16:27:08 GMT 2022","Thu Sep 15 16:27:13 GMT 2022","4829","","","","","","TC-03 - Password recovery",""
"passed","Thu Sep 15 16:26:55 GMT 2022","Thu Sep 15 16:27:01 GMT 2022","6698","","","","","","TC-01 - Registration on the website Redmine.com",""
