"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 15 17:58:54 EEST 2022","Thu Sep 15 17:58:59 EEST 2022","5209","","","","","","TC-02 - Authorization on the website Redmine.com",""
"passed","Thu Sep 15 17:59:07 EEST 2022","Thu Sep 15 17:59:11 EEST 2022","3758","","","","","","TC-05 - Checking the forum",""
"passed","Thu Sep 15 17:58:59 EEST 2022","Thu Sep 15 17:59:04 EEST 2022","4882","","","","","","TC-03 - Password recovery",""
"passed","Thu Sep 15 17:58:47 EEST 2022","Thu Sep 15 17:58:54 EEST 2022","6958","","","","","","TC-01 - Registration on the website Redmine.com",""
"passed","Thu Sep 15 17:59:04 EEST 2022","Thu Sep 15 17:59:07 EEST 2022","3057","","","","","","TC-04 - Testing the search",""
