"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Sep 15 17:11:56 GMT 2022","Thu Sep 15 17:11:56 GMT 2022","3","","","","","","TC-04 - Testing the search",""
"passed","Thu Sep 15 17:11:51 GMT 2022","Thu Sep 15 17:11:56 GMT 2022","5522","","","","","","TC-03 - Password recovery",""
"passed","Thu Sep 15 17:11:44 GMT 2022","Thu Sep 15 17:11:51 GMT 2022","6428","","","","","","TC-02 - Authorization on the website Redmine.com",""
"passed","Thu Sep 15 17:11:56 GMT 2022","Thu Sep 15 17:12:01 GMT 2022","4566","","","","","","TC-05 - Checking the forum",""
"passed","Thu Sep 15 17:11:35 GMT 2022","Thu Sep 15 17:11:44 GMT 2022","8597","","","","","","TC-01 - Registration on the website Redmine.com",""
